Allocation_Status,Interface_Group,Board_Net,Package_Pin,FPGA_Pin_Function,GT_Location,Bank,VCCO_V,Direction,Differential_Mate,Clock_Capability,IOSTANDARD,Verification_Status,Notes
FIXED-VERIFIED,PCIe,PCIE_TX0_P,D7,MGTPTXP3_216,X0Y3,216,,OUT,PCIE_TX0_N,MGT,,VERIFIED_IN_VIVADO,Verified directly in Vivado 2026.1 for xc7a35tfgg484-2. MGTPTXP3_216 maps to package ball D7 at X0Y3.
FIXED-VERIFIED,PCIe,PCIE_TX0_N,C7,MGTPTXN3_216,X0Y3,216,,OUT,PCIE_TX0_P,MGT,,VERIFIED_IN_VIVADO,Verified directly in Vivado 2026.1 for xc7a35tfgg484-2. MGTPTXN3_216 maps to package ball C7 at X0Y3.
FIXED-VERIFIED,PCIe,PCIE_RX0_P,D9,MGTPRXP3_216,X0Y3,216,,IN,PCIE_RX0_N,MGT,,VERIFIED_IN_VIVADO,Verified directly in Vivado 2026.1 for xc7a35tfgg484-2. MGTPRXP3_216 maps to package ball D9 at X0Y3.
FIXED-VERIFIED,PCIe,PCIE_RX0_N,C9,MGTPRXN3_216,X0Y3,216,,IN,PCIE_RX0_P,MGT,,VERIFIED_IN_VIVADO,Verified directly in Vivado 2026.1 for xc7a35tfgg484-2. MGTPRXN3_216 maps to package ball C9 at X0Y3.
FIXED-VERIFIED,PCIe,PCIE_TX1_P,B6,MGTPTXP2_216,X0Y2,216,,OUT,PCIE_TX1_N,MGT,,VERIFIED_IN_VIVADO,Verified directly in Vivado 2026.1 for xc7a35tfgg484-2. MGTPTXP2_216 maps to package ball B6 at X0Y2.
FIXED-VERIFIED,PCIe,PCIE_TX1_N,A6,MGTPTXN2_216,X0Y2,216,,OUT,PCIE_TX1_P,MGT,,VERIFIED_IN_VIVADO,Verified directly in Vivado 2026.1 for xc7a35tfgg484-2. MGTPTXN2_216 maps to package ball A6 at X0Y2.
FIXED-VERIFIED,PCIe,PCIE_RX1_P,B10,MGTPRXP2_216,X0Y2,216,,IN,PCIE_RX1_N,MGT,,VERIFIED_IN_VIVADO,Verified directly in Vivado 2026.1 for xc7a35tfgg484-2. MGTPRXP2_216 maps to package ball B10 at X0Y2.
FIXED-VERIFIED,PCIe,PCIE_RX1_N,A10,MGTPRXN2_216,X0Y2,216,,IN,PCIE_RX1_P,MGT,,VERIFIED_IN_VIVADO,Verified directly in Vivado 2026.1 for xc7a35tfgg484-2. MGTPRXN2_216 maps to package ball A10 at X0Y2.
FIXED-VERIFIED,PCIe,PCIE_TX2_P,D5,MGTPTXP1_216,X0Y1,216,,OUT,PCIE_TX2_N,MGT,,VERIFIED_IN_VIVADO,Verified directly in Vivado 2026.1 for xc7a35tfgg484-2. MGTPTXP1_216 maps to package ball D5 at X0Y1.
FIXED-VERIFIED,PCIe,PCIE_TX2_N,C5,MGTPTXN1_216,X0Y1,216,,OUT,PCIE_TX2_P,MGT,,VERIFIED_IN_VIVADO,Verified directly in Vivado 2026.1 for xc7a35tfgg484-2. MGTPTXN1_216 maps to package ball C5 at X0Y1.
